GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab_3,main.zad74,zad74,3,29,0,8,1,8,1,5,1,1
lab_3,main.zad76,zad76,3,49,0,10,1,10,1,6,1,1
lab_3,main.zad70,zad70,3,34,0,2,1,4,1,2,1,1
lab_3,main.zad50,zad50,3,56,0,7,1,9,1,6,1,1
lab_3,main.zad50,Node,0,6,0,0,0,3,0,1,0,1
lab_3,main.zad51,zad51,3,64,0,4,1,11,1,4,1,2
lab_3,main,App,323,0,2,0,32,0,3,0,2,0
lab_3,main.Exception,Lab3Exception,0,4,0,0,0,2,0,1,0,1
lab_3,main.zad56,zad56,3,51,0,6,1,7,1,4,1,1
lab_3,main.zad13,zad13,3,99,1,15,1,28,2,8,1,1
lab_3,main.zad79,zad79,3,27,0,6,1,5,1,4,1,1
lab_3,main.zad14,zad14,3,50,0,4,1,8,1,3,1,1
lab_3,main.zad15,zad15,3,33,0,2,1,5,1,2,1,1
